Date,Open,High,Low,Close,Volume
2016-05-27,43.5,43.5,43.0,43.5,574200.0
2016-05-30,43.5,43.75,43.25,43.5,819500.0
2016-05-31,43.5,44.5,43.0,43.0,2773300.0
2016-06-01,43.5,44.75,43.25,44.25,2324200.0
2016-06-02,44.25,44.75,44.0,44.75,1403500.0
2016-06-03,45.0,45.0,44.25,45.0,931700.0
2016-06-06,45.25,45.25,44.75,45.0,558000.0
2016-06-07,45.5,45.5,44.75,45.25,800700.0
2016-06-08,44.75,45.25,44.0,44.5,1004000.0
2016-06-09,44.5,45.0,44.25,44.75,401900.0
2016-06-10,44.75,44.75,43.75,44.0,1055600.0
2016-06-13,43.75,45.0,43.25,45.0,1223600.0
2016-06-14,44.75,45.25,44.5,45.0,720100.0
2016-06-15,44.75,45.25,44.5,45.0,552600.0
2016-06-16,45.25,45.25,44.0,44.0,1705500.0
2016-06-17,44.0,44.25,43.75,43.75,637500.0
2016-06-20,43.75,44.25,43.75,44.0,215500.0
2016-06-21,44.0,44.75,44.0,44.5,345100.0
2016-06-22,44.5,46.0,44.5,46.0,1279100.0
2016-06-23,45.75,46.75,45.5,46.75,1222500.0
2016-06-24,46.75,46.75,45.25,46.25,1586900.0
2016-06-27,46.0,47.5,46.0,47.0,2035900.0
2016-06-28,47.25,47.5,46.75,47.0,1496500.0
2016-06-29,47.0,48.0,47.0,48.0,2526100.0
2016-06-30,48.5,49.5,48.25,49.5,5856900.0
2016-07-04,49.5,49.5,48.75,49.25,1006100.0
2016-07-05,49.5,49.75,49.0,49.25,1453900.0
2016-07-06,49.5,49.75,49.25,49.25,489400.0
2016-07-07,49.25,51.5,49.25,51.0,4761600.0
2016-07-08,51.5,52.0,50.25,50.5,2184400.0
2016-07-11,51.5,53.25,51.0,53.0,3803900.0
2016-07-12,52.0,52.0,49.75,51.0,4405900.0
2016-07-13,51.0,51.25,50.25,50.5,2210900.0
2016-07-14,50.75,51.75,50.0,51.25,5934300.0
2016-07-15,51.25,54.25,51.25,52.25,8754100.0
2016-07-20,54.25,56.25,51.75,52.25,8164800.0
2016-07-21,52.0,52.75,49.75,50.25,5138100.0
2016-07-22,50.25,52.75,50.25,52.5,2115100.0
2016-07-25,52.75,54.5,52.5,53.25,2392600.0
2016-07-26,53.25,55.0,53.25,54.25,2565400.0
2016-07-27,55.0,57.0,55.0,56.0,4849800.0
2016-07-28,55.75,56.75,54.5,55.0,3023100.0
2016-07-29,55.25,55.5,53.75,54.0,1672800.0
2016-08-01,55.0,55.0,53.0,53.0,2259200.0
2016-08-02,53.5,54.5,53.25,53.25,1333500.0
2016-08-03,53.25,53.75,53.0,53.25,1315400.0
2016-08-04,53.5,54.0,52.25,53.75,1861000.0
2016-08-05,53.75,54.0,53.0,53.5,1154200.0
2016-08-08,54.0,54.75,52.5,53.25,2302100.0
2016-08-09,53.0,53.25,52.5,53.25,2993000.0
2016-08-10,53.5,53.75,52.5,52.75,1553000.0
2016-08-11,52.75,52.75,51.75,52.0,4190300.0
2016-08-15,52.0,53.25,51.5,52.0,4625800.0
2016-08-16,52.25,52.25,50.5,51.0,1801300.0
2016-08-17,50.75,51.0,50.0,50.75,3588300.0
2016-08-18,50.75,51.75,50.25,50.75,1685600.0
2016-08-19,50.75,51.5,50.5,51.0,977000.0
2016-08-22,51.0,51.75,51.0,51.75,892300.0
2016-08-23,51.75,52.75,51.5,52.5,1535300.0
2016-08-24,53.5,53.5,52.25,52.75,2464000.0
2016-08-25,52.75,53.0,51.75,52.5,3094300.0
2016-08-26,52.75,53.25,52.5,52.75,1724100.0
2016-08-29,53.25,53.25,52.25,53.0,1566000.0
2016-08-30,53.25,54.0,53.0,53.75,1735400.0
2016-08-31,53.75,54.5,53.25,54.0,1559400.0
2016-09-01,53.5,54.0,52.25,53.0,1408600.0
2016-09-02,53.0,53.5,52.25,53.0,2263600.0
2016-09-05,53.0,53.25,50.5,51.5,2514800.0
2016-09-06,51.75,52.0,51.25,51.5,800500.0
2016-09-07,51.5,53.0,51.5,51.75,1287900.0
2016-09-08,51.5,51.75,50.75,51.0,1786700.0
2016-09-09,51.0,51.25,51.0,51.0,737900.0
2016-09-12,51.0,51.5,50.75,51.0,1603300.0
2016-09-13,51.25,52.0,51.0,51.0,1132300.0
2016-09-14,51.0,52.0,51.0,51.5,540900.0
2016-09-15,51.5,53.0,51.5,52.75,853700.0
2016-09-16,52.5,53.25,51.75,53.0,4176300.0
2016-09-19,53.5,53.5,52.0,52.75,1426400.0
2016-09-20,53.0,53.0,52.0,52.5,1216100.0
2016-09-21,52.75,53.0,52.25,52.75,1557000.0
2016-09-22,53.25,55.0,52.75,55.0,4972900.0
2016-09-23,54.0,55.0,53.25,55.0,5189200.0
2016-09-26,53.75,55.0,53.5,53.75,4148100.0
2016-09-27,54.0,54.75,53.75,54.0,1848500.0
2016-09-28,54.0,54.25,53.5,53.5,1223500.0
2016-09-29,53.75,54.25,53.5,53.75,311600.0
2016-09-30,53.5,53.75,52.5,52.5,1499100.0
2016-10-03,52.75,53.25,52.25,52.5,1721600.0
2016-10-04,52.75,53.25,52.5,52.75,2900500.0
2016-10-05,52.75,53.0,52.25,53.0,2060800.0
2016-10-06,53.0,55.0,52.75,54.5,1662600.0
2016-10-07,54.5,54.75,54.0,54.5,1041300.0
2016-10-10,53.0,54.25,52.75,53.25,1786700.0
2016-10-11,53.75,54.0,52.25,53.0,1621100.0
2016-10-12,52.5,53.0,50.75,52.0,2082900.0
2016-10-13,51.0,51.75,50.0,51.5,2268000.0
2016-10-14,52.5,53.75,52.25,52.25,3070400.0
2016-10-17,52.0,53.75,52.0,53.25,1758800.0
2016-10-18,53.5,53.5,52.75,53.25,1465800.0
2016-10-19,53.0,53.25,52.5,53.0,1455500.0
2016-10-20,53.0,53.25,52.25,52.75,1186600.0
2016-10-21,53.0,53.25,52.5,53.0,736600.0
2016-10-25,53.25,53.25,52.75,53.0,702900.0
2016-10-26,53.0,53.0,52.0,52.0,1002200.0
2016-10-27,52.0,53.0,51.75,52.75,1286900.0
2016-10-28,52.75,53.0,52.0,52.0,642000.0
2016-10-31,52.0,52.5,51.5,51.75,766100.0
2016-11-01,52.25,53.0,51.25,52.75,2037800.0
2016-11-02,52.75,52.75,52.0,52.25,335900.0
2016-11-03,52.25,52.75,52.0,52.25,397000.0
2016-11-04,52.0,52.25,52.0,52.25,469200.0
2016-11-07,53.0,54.75,53.0,54.0,6365000.0
2016-11-08,54.0,56.25,54.0,55.5,3413000.0
2016-11-09,55.5,55.75,54.0,54.5,3349000.0
2016-11-10,55.0,55.25,54.0,54.5,2759800.0
2016-11-11,54.5,55.75,54.0,54.5,4527700.0
2016-11-14,54.0,54.5,53.0,53.5,1990800.0
2016-11-15,53.75,54.5,53.25,53.5,2931700.0
2016-11-16,53.75,54.75,53.75,53.75,2113100.0
2016-11-17,54.0,55.25,53.75,55.0,2161100.0
2016-11-18,55.0,55.0,54.25,54.5,448900.0
2016-11-21,54.75,54.75,54.0,54.0,697500.0
2016-11-22,54.0,54.0,53.5,54.0,2431100.0
2016-11-23,54.25,54.25,52.75,54.0,3375400.0
2016-11-24,54.25,54.5,53.75,54.25,313300.0
2016-11-25,54.25,54.5,53.75,54.25,647900.0
2016-11-28,54.0,55.0,53.75,54.0,1442500.0
2016-11-29,54.0,54.25,53.75,54.0,927700.0
2016-11-30,54.0,54.25,53.5,54.0,1047500.0
2016-12-01,54.25,54.5,53.25,53.5,2663100.0
2016-12-02,53.5,53.75,53.0,53.25,1470300.0
2016-12-06,53.5,53.5,52.75,53.25,2319200.0
2016-12-07,53.0,53.25,53.0,53.0,1255800.0
2016-12-08,53.25,54.0,52.75,53.25,3736200.0
2016-12-09,53.0,53.25,52.5,52.75,3373000.0
2016-12-13,53.0,54.0,52.75,54.0,1920100.0
2016-12-14,54.25,54.25,53.25,53.75,1297500.0
2016-12-15,53.5,53.75,53.25,53.75,1137600.0
2016-12-16,54.5,55.25,54.0,55.25,7718800.0
2016-12-19,55.0,55.75,54.75,55.5,3601500.0
2016-12-20,55.25,55.75,54.5,54.75,3518300.0
2016-12-21,55.0,57.25,55.0,56.75,8569300.0
2016-12-22,57.0,59.25,56.25,58.0,12908600.0
2016-12-23,58.5,61.75,58.25,60.5,13556000.0
2016-12-26,60.75,61.5,60.25,60.75,2271100.0
2016-12-27,61.0,63.5,60.75,62.5,6696700.0
2016-12-28,62.25,62.5,61.25,62.25,3092000.0
2016-12-29,61.5,61.75,60.25,61.5,3572000.0
2016-12-30,61.5,61.75,60.25,60.25,3502800.0
2017-01-04,61.0,65.25,61.0,65.0,10259000.0
2017-01-05,64.75,65.75,62.25,63.0,12545400.0
2017-01-06,63.25,64.5,63.0,63.0,7358800.0
2017-01-09,63.0,63.5,62.25,62.25,6060400.0
2017-01-10,62.75,64.0,62.75,63.0,6776800.0
2017-01-11,63.25,63.5,62.75,62.75,3614300.0
2017-01-12,63.25,65.0,62.5,62.75,6016600.0
2017-01-16,63.5,63.75,62.75,63.0,1494800.0
2017-01-17,63.0,63.25,61.25,61.5,3995500.0
2017-01-18,61.75,62.75,61.75,62.0,5819400.0
2017-01-19,61.75,62.0,59.75,60.5,5534300.0
2017-01-20,61.0,62.5,60.75,62.25,6756700.0
2017-01-23,62.5,63.25,62.0,63.0,5445400.0
2017-01-24,62.75,63.0,61.5,62.0,2720400.0
2017-01-25,62.25,62.5,61.75,62.0,2827000.0
2017-01-26,62.25,62.75,60.75,61.25,4832200.0
2017-01-27,61.25,62.0,60.75,61.5,2550600.0
2017-01-30,61.5,61.75,60.75,61.5,2140700.0
2017-01-31,61.5,62.0,61.0,61.0,3724400.0
2017-02-01,61.25,61.75,61.0,61.75,3322700.0
2017-02-02,61.75,65.0,61.0,65.0,11185800.0
2017-02-03,64.25,64.5,63.0,63.5,6970100.0
2017-02-06,63.5,64.0,62.25,62.75,6136700.0
2017-02-07,63.25,63.75,62.5,62.5,5251900.0
2017-02-08,63.0,64.25,62.75,64.0,4850600.0
2017-02-09,64.0,67.5,64.0,67.5,11018000.0
2017-02-10,67.75,68.75,65.5,67.0,10429700.0
2017-02-14,67.0,68.25,66.5,67.75,5073800.0
2017-02-15,68.0,68.5,66.5,67.0,4062900.0
2017-02-16,67.0,67.5,66.0,66.5,4444700.0
2017-02-17,67.0,67.0,64.5,65.75,7446500.0
2017-02-20,66.0,68.0,66.0,67.25,3993500.0
2017-02-21,67.5,67.75,66.25,66.5,2924800.0
2017-02-22,66.5,67.5,66.25,67.0,2275100.0
2017-02-23,67.25,68.75,66.75,67.5,8091200.0
2017-02-24,67.25,67.75,66.75,67.0,1273200.0
2017-02-27,67.0,69.5,67.0,69.0,7563100.0
2017-02-28,69.0,69.25,68.0,68.5,3652800.0
2017-03-01,68.5,69.0,67.75,68.25,2413500.0
2017-03-02,68.75,68.75,67.25,67.75,2526800.0
2017-03-03,68.0,68.0,67.0,67.0,2189000.0
2017-03-06,67.0,67.5,65.5,66.0,3697500.0
2017-03-07,65.75,66.0,65.5,65.5,1687500.0
2017-03-08,65.5,65.75,64.75,65.5,3966500.0
2017-03-09,65.75,65.75,64.75,65.75,3397300.0
2017-03-10,65.5,66.0,65.25,65.5,1876700.0
2017-03-13,65.25,66.75,64.25,66.5,2847800.0
2017-03-14,66.25,68.0,65.75,66.0,6065200.0
2017-03-15,65.75,66.5,65.5,65.75,4476000.0
2017-03-16,66.0,67.25,66.0,66.75,4615500.0
2017-03-17,67.25,70.0,67.0,69.5,10787200.0
2017-03-20,69.5,70.75,68.0,68.0,6364000.0
2017-03-21,68.25,69.0,68.0,68.25,3444600.0
2017-03-22,68.0,69.75,68.0,69.25,4548400.0
2017-03-23,69.0,69.5,68.25,68.5,3107100.0
2017-03-24,68.5,69.5,68.5,69.0,1363900.0
2017-03-27,69.75,69.75,68.75,69.0,1608400.0
2017-03-28,69.0,70.0,69.0,69.5,2110400.0
2017-03-29,69.5,70.75,69.5,69.5,4307600.0
2017-03-30,70.0,72.5,69.5,72.5,6205200.0
2017-03-31,72.5,72.5,71.5,71.75,4629200.0
2017-04-03,72.25,74.25,72.0,73.25,4685500.0
2017-04-04,73.25,73.75,71.5,72.25,3739800.0
2017-04-05,72.25,72.5,70.75,71.25,4680100.0
2017-04-07,71.25,72.0,70.75,71.5,5093800.0
2017-04-10,71.5,72.0,71.0,71.5,3238500.0
2017-04-11,71.25,71.75,71.0,71.0,3492100.0
2017-04-12,71.25,72.0,71.0,71.25,3298900.0
2017-04-17,71.25,72.25,70.75,71.5,2487600.0
2017-04-18,72.25,74.0,72.25,73.5,8782900.0
2017-04-19,74.0,75.5,73.25,73.5,9469900.0
2017-04-20,73.5,75.0,73.0,73.75,10906400.0
2017-04-21,74.25,77.0,74.0,76.75,6551200.0
2017-04-24,76.75,78.0,75.75,76.0,4558800.0
2017-04-25,76.5,77.0,75.25,76.25,4036700.0
2017-04-26,73.25,74.0,72.0,72.5,6412300.0
2017-04-27,73.0,75.5,72.75,73.75,6164600.0
2017-04-28,73.75,76.25,73.75,76.25,5941600.0
2017-05-02,76.25,76.25,73.75,74.0,2004700.0
2017-05-03,74.0,74.5,73.5,73.5,5081600.0
2017-05-04,74.5,75.0,73.75,74.75,4079200.0
2017-05-08,75.0,75.25,73.75,73.75,4541600.0
2017-05-09,74.0,74.5,71.5,72.0,6618400.0
2017-05-11,72.25,76.0,72.25,75.5,8550800.0
2017-05-12,75.5,75.5,73.75,75.0,4061500.0
2017-05-15,74.25,74.25,74.25,74.25,155400.0
2017-05-16,74.25,76.0,74.25,76.0,2707400.0
2017-05-17,76.0,80.25,75.5,80.0,8595800.0
2017-05-18,79.5,80.75,78.75,79.5,8852200.0
2017-05-19,79.75,79.75,77.75,78.25,8003100.0
2017-05-22,78.25,80.0,78.25,78.5,3953800.0
2017-05-23,78.75,79.0,78.0,78.25,2215300.0
2017-05-24,78.25,78.5,76.25,77.0,5273600.0
2017-05-25,78.0,78.0,75.0,76.25,5611700.0
2017-05-26,76.25,77.5,75.75,76.25,3509400.0
2017-05-29,76.25,77.0,76.25,76.5,2379100.0
2017-05-30,76.5,76.75,75.5,76.25,2893000.0
2017-05-31,76.75,77.0,75.5,76.25,3750900.0
2017-06-01,76.0,76.25,75.5,76.0,1594000.0
2017-06-02,76.0,76.75,76.0,76.25,4462000.0
2017-06-05,76.25,76.5,75.75,76.0,3160000.0
2017-06-06,75.75,78.25,75.75,78.0,3915500.0
2017-06-07,77.75,78.0,77.0,77.25,1790600.0
2017-06-08,77.0,77.75,76.5,77.25,3571200.0
2017-06-09,75.25,75.75,73.0,75.25,13104300.0
2017-06-12,74.75,75.25,73.5,74.25,5715500.0
2017-06-13,74.25,76.0,74.25,75.25,5297200.0
2017-06-14,76.0,77.25,75.5,77.0,3936600.0
2017-06-15,76.75,78.25,76.25,76.75,4348800.0
2017-06-16,76.75,77.5,76.5,77.0,1591500.0
2017-06-19,77.0,78.25,76.75,77.25,2362300.0
2017-06-20,77.5,78.5,77.25,77.25,2647800.0
2017-06-21,77.25,78.0,77.0,77.25,1427000.0
2017-06-22,77.75,78.25,77.25,77.5,2210100.0
2017-06-23,77.75,78.0,77.0,77.0,1777100.0
2017-06-26,77.25,77.75,77.0,77.5,2755600.0
2017-06-27,77.5,78.25,77.0,77.25,3273800.0
2017-06-28,77.5,78.25,77.25,77.5,3752900.0
2017-06-29,77.75,78.0,77.25,77.5,1207300.0
2017-06-30,77.5,77.5,74.75,76.0,7573000.0
2017-07-03,76.0,77.0,75.75,76.0,2642700.0
2017-07-04,76.0,76.25,74.75,75.0,3774000.0
2017-07-05,74.5,75.0,71.5,72.0,15991500.0
2017-07-06,72.0,72.0,70.25,71.5,8854500.0
2017-07-07,71.75,73.25,71.5,72.75,6094500.0
2017-07-11,73.5,73.5,73.0,73.0,4028200.0
2017-07-12,73.5,75.0,73.25,74.75,8388100.0
2017-07-13,75.0,76.75,75.0,76.75,12427000.0
2017-07-14,77.0,78.0,76.75,78.0,5772500.0
2017-07-17,77.75,77.75,74.75,74.75,6073300.0
2017-07-18,74.75,75.75,74.0,74.75,6853500.0
2017-07-19,75.0,75.0,74.0,74.25,2796700.0
2017-07-20,74.25,74.75,73.25,73.5,3288600.0
2017-07-21,73.75,74.25,73.25,74.0,2778200.0
2017-07-24,74.0,74.5,73.75,73.75,1107400.0
2017-07-25,73.75,74.5,72.0,72.5,5074000.0
2017-07-26,72.5,73.25,72.25,72.5,3982900.0
2017-07-27,72.5,73.75,72.5,73.0,5108700.0
2017-07-31,73.0,74.5,72.75,73.75,5641800.0
2017-08-01,73.5,74.0,72.75,72.75,3578000.0
2017-08-02,73.0,73.5,72.75,73.25,2221800.0
2017-08-03,73.25,73.25,72.5,72.75,2552000.0
2017-08-04,72.75,73.0,72.5,72.75,1162300.0
2017-08-07,72.5,73.25,72.5,72.75,668300.0
2017-08-08,72.75,73.25,72.5,73.25,2176800.0
2017-08-09,73.25,73.5,72.0,72.75,1263200.0
2017-08-10,72.5,73.25,72.5,72.75,855800.0
2017-08-11,72.5,73.0,72.25,72.75,1364400.0
2017-08-15,72.75,73.0,72.25,72.5,1873500.0
2017-08-16,72.25,72.75,72.25,72.5,1382200.0
2017-08-17,72.25,72.5,70.75,71.5,4736800.0
2017-08-18,71.25,71.5,69.5,70.25,4958500.0
2017-08-21,70.25,72.25,69.5,72.0,5679500.0
2017-08-22,72.0,73.0,71.5,72.5,3615700.0
2017-08-23,73.0,73.25,72.5,72.75,2596800.0
2017-08-24,72.75,74.5,72.75,74.0,3063100.0
2017-08-25,73.75,73.75,73.0,73.25,1586700.0
2017-08-28,74.25,74.25,74.25,74.25,224300.0
2017-08-29,74.25,77.0,74.25,75.5,8348000.0
2017-08-30,75.75,75.75,74.25,74.75,4543900.0
2017-08-31,74.75,75.0,74.5,74.75,2586300.0
2017-09-01,75.0,75.75,74.75,75.0,1730400.0
2017-09-04,75.0,75.25,74.0,74.25,2626200.0
2017-09-05,74.25,74.5,73.25,73.75,2335500.0
2017-09-06,73.5,75.5,73.25,75.5,3058800.0
2017-09-07,75.5,75.75,74.25,74.75,3855200.0
2017-09-08,75.5,75.5,74.0,74.5,4212000.0
2017-09-11,75.0,75.0,73.5,73.5,2771100.0
2017-09-12,74.0,74.0,72.75,73.25,4351200.0
2017-09-13,73.75,73.75,73.0,73.25,3037500.0
2017-09-14,73.75,73.75,72.75,73.25,3353900.0
2017-09-15,73.25,73.5,72.25,73.25,5005700.0
2017-09-18,72.75,73.5,72.75,73.0,3563800.0
2017-09-19,73.25,74.5,73.0,74.5,5108000.0
2017-09-20,74.25,74.75,73.75,74.5,2689500.0
2017-09-21,75.0,75.5,74.75,75.25,4628700.0
2017-09-22,75.25,75.25,74.5,74.5,2905400.0
2017-09-25,74.5,76.0,74.5,76.0,4182700.0
2017-09-26,76.25,77.5,75.5,77.5,6414100.0
2017-09-27,77.5,77.5,76.75,77.25,3124200.0
2017-09-28,77.25,77.25,76.0,76.75,3033100.0
2017-09-29,76.75,77.25,76.5,77.0,1637400.0
2017-10-02,77.0,78.5,76.75,78.25,6636500.0
2017-10-03,79.0,79.75,78.75,79.25,6342100.0
2017-10-04,79.75,81.0,79.5,80.25,10065900.0
2017-10-05,80.5,80.75,79.5,80.0,3358800.0
2017-10-06,80.0,81.5,80.0,81.5,7012400.0
2017-10-09,81.75,82.0,80.25,80.5,2408500.0
2017-10-10,80.75,81.0,78.75,80.0,7015100.0
2017-10-11,81.25,82.25,80.75,81.5,4707100.0
2017-10-12,82.25,86.75,81.25,86.5,14006400.0
2017-10-16,86.5,86.5,86.5,86.5,264200.0
2017-10-17,86.5,86.5,83.75,84.25,7109300.0
2017-10-18,84.5,85.25,84.0,84.5,2561500.0
2017-10-19,84.5,85.25,82.75,83.25,3485900.0
2017-10-20,83.25,84.75,83.0,84.25,4801900.0
2017-10-24,84.5,86.0,84.5,85.25,5509500.0
2017-10-25,87.0,90.25,86.75,89.25,15346400.0
2017-10-27,89.0,89.0,88.0,88.25,2627900.0
2017-10-30,88.5,88.5,85.25,87.0,5954200.0
2017-10-31,87.0,89.0,86.25,87.75,3377500.0
2017-11-01,87.75,88.5,87.0,88.0,2000000.0
2017-11-02,88.5,88.5,87.0,88.25,3268100.0
2017-11-03,88.25,88.25,85.5,86.0,4638300.0
2017-11-06,85.75,87.75,85.75,87.75,1391600.0
2017-11-07,87.75,87.75,86.25,87.0,2149700.0
2017-11-08,86.75,87.75,86.0,87.0,2522500.0
2017-11-09,87.0,87.5,86.25,86.25,2189000.0
2017-11-10,86.0,87.25,86.0,86.5,1279900.0
2017-11-13,86.5,89.0,86.0,89.0,3971700.0
2017-11-14,89.0,89.0,87.25,87.75,3477800.0
2017-11-15,87.5,88.25,87.0,87.75,1752300.0
2017-11-16,88.0,88.0,86.5,87.0,3655200.0
2017-11-17,87.5,90.5,87.0,90.0,8067700.0
2017-11-20,90.5,92.0,90.5,90.5,5914900.0
2017-11-21,89.25,89.25,89.25,89.25,4861100.0
2017-11-22,89.25,89.25,87.75,87.75,5051800.0
2017-11-23,88.0,88.75,87.5,87.5,2475200.0
2017-11-24,87.25,88.0,86.0,87.0,2725600.0
2017-11-27,86.5,86.5,82.5,83.25,10832100.0
2017-11-28,83.5,85.5,83.5,85.5,7103600.0
2017-11-29,86.0,89.0,86.0,87.5,8849600.0
2017-11-30,87.25,88.25,86.0,88.25,4654100.0
2017-12-01,88.5,88.5,85.75,85.75,5456600.0
2017-12-04,86.5,86.5,85.0,85.5,2152700.0
2017-12-06,84.75,85.0,83.5,85.0,3866100.0
2017-12-07,84.5,85.25,84.5,85.0,1564300.0
2017-12-08,85.5,86.0,84.75,85.0,2095400.0
2017-12-12,85.0,85.75,84.5,85.0,2046200.0
2017-12-13,84.75,85.5,84.5,85.0,1545700.0
2017-12-14,85.0,87.5,84.75,85.75,8161600.0
2017-12-15,86.0,87.0,85.25,87.0,3858300.0
2017-12-18,88.0,88.0,87.0,87.25,3786300.0
2017-12-19,88.25,88.5,87.5,88.0,4909000.0
2017-12-20,87.75,88.75,87.0,88.25,5995500.0
2017-12-21,88.0,88.5,87.5,87.75,2919300.0
2017-12-22,88.0,88.5,87.75,88.0,5947900.0
2017-12-25,88.25,91.0,88.25,90.5,7260400.0
2017-12-26,90.25,91.0,89.75,90.75,4712400.0
2017-12-27,90.5,90.75,88.75,89.0,4122000.0
2017-12-28,88.75,89.0,87.5,88.25,3789700.0
2017-12-29,88.75,89.0,88.25,88.5,1562000.0
2018-01-03,88.75,90.25,88.75,89.5,7112300.0
2018-01-04,89.5,91.5,89.5,90.25,8068200.0
2018-01-05,90.75,91.75,90.25,91.25,6352100.0
2018-01-08,91.75,94.5,91.5,93.25,10786800.0
2018-01-09,93.75,93.75,93.75,93.75,314100.0
2018-01-10,94.0,94.75,93.25,93.5,4110700.0
2018-01-11,93.0,93.0,90.5,91.5,8463500.0
2018-01-12,92.0,95.0,92.0,94.25,9665400.0
2018-01-15,94.0,94.25,91.5,91.75,10995500.0
2018-01-16,91.75,92.5,90.5,91.0,6267800.0
2018-01-17,91.0,92.0,89.0,89.0,13746600.0
2018-01-18,89.25,90.5,89.0,89.0,6591300.0
2018-01-19,88.25,89.5,88.25,89.5,4356800.0
2018-01-22,89.75,90.5,89.5,90.25,3459400.0
2018-01-23,90.25,91.25,90.0,90.5,5437300.0
2018-01-24,90.0,91.0,90.0,90.5,7523800.0
2018-01-25,91.0,92.25,90.5,90.75,6803400.0
2018-01-26,90.5,91.0,89.25,90.5,3462800.0
2018-01-29,90.75,91.0,90.0,90.5,4208800.0
2018-01-30,90.5,90.5,89.75,89.75,2598700.0
2018-01-31,89.5,90.5,88.5,88.5,8433400.0
2018-02-01,88.5,88.75,87.25,87.75,10900800.0
2018-02-02,87.5,88.25,87.0,87.5,4684300.0
2018-02-05,86.25,86.75,86.0,86.5,4081000.0
2018-02-06,84.0,87.5,83.75,87.0,8999000.0
2018-02-07,87.25,87.75,86.5,86.75,3764300.0
2018-02-08,86.75,87.75,86.5,87.5,2679600.0
2018-02-09,86.25,87.75,86.25,87.75,3164500.0
2018-02-12,88.0,88.75,87.5,88.75,2459000.0
2018-02-13,89.0,89.0,87.5,87.5,2317400.0
2018-02-14,87.25,87.75,86.75,87.0,2228500.0
2018-02-15,86.75,88.5,86.5,88.5,3499700.0
2018-02-16,89.0,90.25,89.0,89.5,4530900.0
2018-02-19,89.5,90.0,89.25,89.25,1655900.0
2018-02-20,89.0,90.0,88.25,88.5,5520700.0
2018-02-21,88.0,88.0,85.75,86.25,12149500.0
2018-02-22,86.5,86.75,85.5,86.0,4264500.0
2018-02-23,86.25,87.25,86.0,86.75,2487600.0
2018-02-26,87.0,87.25,86.25,86.75,3067400.0
2018-02-27,89.5,90.75,89.0,89.0,12620500.0
2018-02-28,88.75,89.5,88.5,88.5,5121300.0
2018-03-02,88.5,89.25,88.0,88.5,6153800.0
2018-03-05,88.75,89.0,87.25,87.75,5296700.0
2018-03-06,88.0,88.0,88.0,88.0,233800.0
2018-03-07,88.0,88.0,86.5,87.0,4787100.0
2018-03-08,87.0,87.25,86.25,87.0,3718800.0
2018-03-09,87.75,87.75,86.5,87.0,4473400.0
2018-03-12,87.0,87.75,87.0,87.5,3266500.0
2018-03-13,87.5,87.75,86.75,87.25,3628800.0
2018-03-14,87.0,88.75,87.0,88.5,3774500.0
2018-03-15,88.75,89.5,88.5,89.5,2939900.0
